time,temperature,setpoint,power
2024-08-21 17:21:15.406468,43.00,43.0,16.7
2024-08-21 17:21:33.269517,43.00,43.0,16.7
2024-08-21 17:21:51.133256,43.00,43.0,16.7
2024-08-21 17:22:08.996881,43.00,43.0,16.7
2024-08-21 17:22:26.860124,43.00,43.0,16.7
2024-08-21 17:22:44.723509,43.00,43.0,16.7
2024-08-21 17:23:02.586789,43.00,43.0,16.7
2024-08-21 17:23:20.450071,43.00,43.0,16.7
2024-08-21 17:23:38.313024,43.00,43.0,16.7
2024-08-21 17:23:56.176097,43.00,42.0,16.7
2024-08-21 17:24:14.039364,43.00,42.0,0.0
2024-08-21 17:24:31.902616,43.00,42.0,0.0
2024-08-21 17:24:49.765944,43.00,42.0,0.0
2024-08-21 17:25:07.629276,42.99,42.0,0.0
2024-08-21 17:25:25.492522,42.94,42.0,0.0
2024-08-21 17:25:43.355742,42.94,42.0,0.0
2024-08-21 17:26:01.218889,42.94,42.0,0.0
2024-08-21 17:26:19.082248,42.93,42.0,0.0
2024-08-21 17:26:36.945484,42.92,42.0,0.0
2024-08-21 17:26:54.808716,42.87,42.0,0.0
2024-08-21 17:27:12.672024,42.87,42.0,0.0
2024-08-21 17:27:30.535169,42.87,42.0,0.0
2024-08-21 17:27:48.398826,42.87,42.0,0.0
2024-08-21 17:28:06.262229,42.82,42.0,0.0
2024-08-21 17:28:24.125452,42.81,42.0,0.0
2024-08-21 17:28:41.988675,42.81,42.0,0.0
2024-08-21 17:28:59.851798,42.81,42.0,0.0
2024-08-21 17:29:17.714744,42.81,42.0,0.0
2024-08-21 17:29:35.577737,42.75,42.0,0.0
2024-08-21 17:29:53.441004,42.75,42.0,0.0
2024-08-21 17:30:11.304164,42.75,42.0,0.0
2024-08-21 17:30:29.167398,42.75,42.0,0.0
2024-08-21 17:30:47.030478,42.75,42.0,0.0
2024-08-21 17:31:04.893926,42.71,42.0,0.0
2024-08-21 17:31:22.756943,42.69,42.0,0.0
2024-08-21 17:31:40.619865,42.69,42.0,0.0
2024-08-21 17:31:58.482643,42.69,42.0,0.0
2024-08-21 17:32:16.346035,42.66,42.0,0.0
2024-08-21 17:32:34.209105,42.64,42.0,0.0
2024-08-21 17:32:52.072172,42.63,42.0,0.0
2024-08-21 17:33:09.935401,42.63,42.0,0.0
2024-08-21 17:33:27.798259,42.63,42.0,0.0
2024-08-21 17:33:45.661191,42.59,42.0,0.0
2024-08-21 17:34:03.524108,42.56,42.0,0.0
2024-08-21 17:34:21.386866,42.56,42.0,0.0
2024-08-21 17:34:39.249857,42.56,42.0,0.0
2024-08-21 17:34:57.112278,42.56,42.0,0.0
2024-08-21 17:35:14.976111,42.54,42.0,0.0
2024-08-21 17:35:32.839441,42.51,42.0,0.0
2024-08-21 17:35:50.703017,42.50,42.0,0.0
2024-08-21 17:36:08.566219,42.50,42.0,0.0
2024-08-21 17:36:26.429507,42.50,42.0,0.0
2024-08-21 17:36:44.292635,42.47,42.0,0.0
2024-08-21 17:37:02.155999,42.44,42.0,0.0
2024-08-21 17:37:20.019108,42.44,42.0,0.0
2024-08-21 17:37:37.882479,42.44,42.0,0.0
